Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Vendor
AMD A4-4000,CPU,6/1/13,32,65,246,1178,3000,AMD
AMD Phenom X4 9650,CPU,3/27/08,65,95,285,450,2300,AMD
AMD Athlon XP 2600+,CPU,9/1/03,130,68,,63,2083,AMD
Intel Core i5-4350U,CPU,6/4/13,22,15,118,1400,1400,Intel
AMD Ryzen Threadripper 1900X,CPU,8/31/17,14,125,213,9600,3800,AMD
Intel Celeron B820,CPU,7/1/12,32,35,131,504,1700,Intel
Intel Xeon W3670,CPU,8/29/10,32,130,239,1170,3200,Intel
Intel Core i7-4610M,CPU,2/1/14,22,37,118,1300,3000,Intel
AMD Opteron 6282 SE,CPU,11/14/11,32,140,316,2400,2600,AMD
Intel Pentium 4 HT 631,CPU,1/5/06,65,86,81,188,3000,Intel
Intel Xeon L5609,CPU,3/16/10,32,40,239,1170,1866,Intel
AMD Phenom II X3 715 BE,CPU,10/1/10,45,95,258,758,2800,AMD
AMD Opteron 152,CPU,8/2/05,90,104,,106,2600,AMD
AMD Sempron 3400+,CPU,1/23/06,90,62,,69,2000,AMD
Intel Xeon E5603,CPU,2/14/11,32,80,239,1170,1600,Intel
AMD Sempron 2600+,CPU,7/28/04,90,62,,63,1600,AMD
Intel Pentium 4 HT 660,CPU,2/20/05,90,84,109,169,3600,Intel
Intel Celeron 887,CPU,9/1/12,32,17,131,504,1500,Intel
AMD A8-3550MX,CPU,12/20/11,32,45,228,1178,2000,AMD
Intel Xeon E-2124,CPU,5/31/18,14,72,126,1400,3400,Intel
AMD Phenom II X4 830,CPU,9/1/09,45,95,258,758,2800,AMD
AMD Athlon II X2 250,CPU,6/2/09,45,65,117,410,3000,AMD
AMD FX-6200,CPU,2/27/12,32,125,315,1200,3800,AMD
AMD Opteron 848,CPU,5/18/04,130,89,193,106,2200,AMD
AMD Phenom X4 9350e,CPU,7/1/08,65,65,285,450,2000,AMD
Intel Pentium B980,CPU,9/1/12,32,35,131,504,2400,Intel
AMD Athlon II X4 635,CPU,1/25/10,45,95,169,300,2900,AMD
Intel Celeron B810,CPU,3/1/11,32,35,131,504,1600,Intel
Intel A100,CPU,6/1/07,90,3,66,176,600,Intel
AMD A12-9800E,CPU,7/27/17,28,35,246,1178,3100,AMD
Intel Xeon Phi SE10P,CPU,11/12/12,22,300,350,5000,1100,Intel
Intel Core 2 Duo E6750,CPU,7/1/07,65,65,143,291,2667,Intel
Intel Core i7-990X,CPU,2/24/11,32,130,239,1170,3466,Intel
Intel Core 2 Duo E4300,CPU,7/27/06,65,65,111,167,1800,Intel
AMD A4-1250,CPU,5/23/13,32,8,246,1178,1000,AMD
Intel Pentium 4 HT 2.80,CPU,5/21/03,130,70,131,55,2800,Intel
AMD Ryzen 7 1700X,CPU,3/2/17,14,95,192,4800,3400,AMD
AMD A6-3650,CPU,6/30/11,32,100,228,1178,2600,AMD
AMD Ryzen Embedded V1605B,CPU,2/21/18,14,15,210,4950,2000,AMD
Intel Pentium 4 HT 620,CPU,2/20/05,90,84,135,169,2800,Intel
AMD Athlon 64 LE-1640,CPU,1/7/09,90,45,3,154,2600,AMD
AMD Sempron 2800+,CPU,7/28/04,90,25,,63,1600,AMD
AMD A10-5800B,CPU,10/2/12,32,100,246,1178,3800,AMD
Intel Core Solo T1200,CPU,1/5/06,65,27,90,151,1500,Intel
Intel Xeon Phi 7285,CPU,12/1/17,14,250,,8000,1300,Intel
AMD Athlon 64 3800+,CPU,6/1/04,130,89,144,69,2400,AMD
Intel Xeon Phi 31S1P,CPU,6/17/13,22,270,350,5000,1100,Intel
AMD Opteron 144,CPU,8/2/05,90,67,,106,1800,AMD
Intel Xeon MP 7040 Dual-Core,CPU,12/1/05,90,135,213,200,3000,Intel
Intel Pentium 4 2.80,CPU,8/25/02,130,110,146,55,2793,Intel
AMD Phenom II X2 B57,CPU,5/11/10,45,80,258,758,3200,AMD
Intel Celeron G1840T,CPU,5/1/14,22,54,177,1400,2500,Intel
AMD EPYC 7402,CPU,8/7/19,7,180,74,3800,2800,AMD
Intel Pentium 4 1.9,CPU,8/27/01,180,69,217,42,1900,Intel
AMD Opteron 6284 SE,CPU,5/1/12,32,140,316,2400,2700,AMD
AMD Opteron 4340,CPU,12/4/12,32,95,315,1200,3500,AMD
AMD Athlon 64 3700+,CPU,4/14/05,130,83,,105,2400,AMD
AMD Athlon II X4 638,CPU,2/6/12,32,65,228,1178,2700,AMD
AMD Sempron 3800+,CPU,10/23/06,90,62,103,81,2200,AMD
Intel Pentium 2117U,CPU,9/1/12,22,17,118,1400,1800,Intel
AMD Athlon 800,CPU,6/5/00,180,45,120,37,800,AMD
Intel Core 2 Quad Q7600,CPU,8/31/09,45,95,82,456,2700,Intel
Intel Xeon E7-8870,CPU,4/3/11,32,130,513,2600,2400,Intel
AMD FX-8350,CPU,10/23/12,32,125,315,1200,4000,AMD
AMD Athlon 64 X2 4400+ EE,CPU,5/23/06,90,65,220,154,2200,AMD
AMD Opteron 4386,CPU,12/4/12,32,95,315,1200,3100,AMD
Intel Xeon W5580,CPU,3/30/09,45,130,263,731,3200,Intel
AMD Athlon X2 BE-2400,CPU,10/8/07,65,45,126,154,2300,AMD
AMD Phenom II X4 920,CPU,1/8/09,45,125,258,758,2800,AMD
AMD Sempron 2500+,CPU,7/7/05,90,62,84,63,1400,AMD
Intel Xeon Phi 7235,CPU,12/1/17,14,250,,8000,1300,Intel
AMD Sempron 3500+,CPU,10/1/05,90,62,84,63,2000,AMD
AMD Opteron 250,CPU,5/18/04,130,89,193,106,2400,AMD
Intel Xeon MP 7030 Dual-Core,CPU,12/1/05,90,135,213,200,2833,Intel
AMD FX-8170,CPU,10/23/12,32,125,315,1200,3900,AMD
AMD Opteron 850,CPU,12/1/04,90,85,,106,2400,AMD
Intel Core i7-2860QM,CPU,9/4/11,32,45,216,1160,2500,Intel
Intel Pentium 350,CPU,11/21/11,32,15,131,504,1200,Intel
AMD Ryzen 5 2600X,CPU,4/19/18,12,95,192,4800,3600,AMD
Intel Pentium 4 HT 2.40,CPU,5/21/03,130,66,131,55,2400,Intel
AMD Ryzen 7 4700U,CPU,1/6/20,7,25,156,9800,1800,AMD
Intel Atom E620T,CPU,9/14/10,45,3,26,47,600,Intel
